,date,holiday
0,2012-01-02,New Year Day
1,2012-01-16,Martin Luther King Jr. Day
2,2012-02-20,Presidents Day (Washingtons Birthday)
3,2012-05-28,Memorial Day
4,2012-07-04,Independence Day
5,2012-09-03,Labor Day
6,2012-10-08,Columbus Day
7,2012-11-12,Veterans Day
8,2012-11-22,Thanksgiving Day
9,2012-11-23,post tgiving
10,2012-12-24,xmas eve
11,2012-12-25,Christmas Day
12,2012-12-31,nye
13,2013-01-01,New Year Day
14,2013-01-21,Martin Luther King Jr. Day
15,2013-02-18,Presidents Day (Washingtons Birthday)
16,2013-03-31,cesar
17,2013-04-01,cesar
18,2013-05-27,Memorial Day
19,2013-07-04,Independence Day
20,2013-09-02,Labor Day
21,2013-10-14,Columbus Day
22,2013-11-11,Veterans Day
23,2013-11-28,Thanksgiving Day
24,2013-11-29,post tgivings
25,2013-12-24,xmas eve
26,2013-12-25,Christmas Day
27,2013-12-31, xmas eve
28,2014-01-01,New Year Day
29,2014-01-20,Martin Luther King Jr. Day
30,2014-02-17,Presidents Day (Washingtons Birthday)
31,2014-05-26,Memorial Day
32,2014-07-04,Independence Day
33,2014-09-01,Labor Day
34,2014-10-13,Columbus Day
35,2014-11-11,Veterans Day
36,2014-11-27,Thanksgiving Day
37,2014-11-28,post tgiving
38,2014-12-24,xmas eve
39,2014-12-25,Christmas Day
40,2014-12-31,nye
41,2015-01-01,New Year Day
42,2015-01-19,Martin Luther King Jr. Day
43,2015-02-16,Presidents Day (Washingtons Birthday)
44,2015-05-25,Memorial Day
45,2015-07-03,Independence Day
46,2015-09-07,Labor Day
47,2015-10-12,Columbus Day
48,2015-11-11,Veterans Day
49,2015-11-26,Thanksgiving Day
50,2015-11-27,post tgiving
51,2015-12-24,xmas eve
52,2015-12-25,Christmas Day
53,2015-12-31,nye
54,2016-01-01,New Year Day
55,2016-01-18,Martin Luther King Jr. Day
56,2016-02-15,Presidents Day (Washingtons Birthday)
57,2016-05-30,Memorial Day
58,2016-07-04,Independence Day
59,2016-09-05,Labor Day
60,2016-10-10,Columbus Day
61,2016-11-11,Veterans Day
62,2016-11-24,Thanksgiving Day
63,2016-11-25,post tgiving
64,2016-12-25,Christmas Day
65,2016-12-26,after xmas
66,2017-01-02,New Year Day
67,2017-01-16,Martin Luther King Jr. Day
68,2017-02-20,Presidents Day (Washingtons Birthday)
69,2017-05-29,Memorial Day
70,2017-07-04,Independence Day
71,2017-09-04,Labor Day
72,2017-10-09,Columbus Day
73,2017-11-10,Veterans Day
74,2017-11-23,Thanksgiving Day
75,2017-11-24,
76,2017-12-24,
77,2017-12-25,Christmas Day
78,2017-12-31,
79,2018-01-01,New Year Day
80,2018-01-15,Martin Luther King Jr. Day
81,2018-02-19,Presidents Day (Washingtons Birthday)
82,2018-05-28,Memorial Day
83,2018-07-04,Independence Day
84,2018-09-03,Labor Day
85,2018-10-08,Columbus Day
86,2018-11-12,Veterans Day
87,2018-11-22,Thanksgiving Day
88,2018-11-23,
89,2018-12-24,
90,2018-12-25,Christmas Day
91,2018-12-31,
92,2019-01-01,New Year Day
93,2019-01-21,Martin Luther King Jr. Day
94,2019-02-18,Presidents Day (Washingtons Birthday)
95,2019-05-27,Memorial Day
96,2019-07-04,Independence Day
97,2019-09-02,Labor Day
98,2019-10-14,Columbus Day
99,2019-11-11,Veterans Day
100,2019-11-28,Thanksgiving Day
101,2019-11-29,
102,2019-12-24,
103,2019-12-25,Christmas Day
104,2020-12-31,
105,2020-01-01,New Year Day
106,2020-01-20,Martin Luther King Jr. Day
107,2020-02-17,Presidents Day (Washingtons Birthday)
108,2020-05-25,Memorial Day
109,2020-07-03,Independence Day
110,2020-09-07,Labor Day
111,2020-10-12,Columbus Day
112,2020-11-11,Veterans Day
113,2020-11-26,Thanksgiving Day
114,2020-12-25,Christmas Day
115,2021-01-01,New Year Day
116,2021-01-18,Martin Luther King Jr. Day
117,2021-02-15,Presidents Day (Washingtons Birthday)
118,2021-05-31,Memorial Day
119,2021-07-05,Independence Day
120,2021-09-06,Labor Day
121,2021-10-11,Columbus Day
122,2021-11-11,Veterans Day
123,2021-11-25,Thanksgiving Day
124,2021-11-26,
125,2021-12-24,Christmas Day
126,2021-12-31,
