,actual_kwh,actual_temperature,date,time,dow,month
2012-11-01 01:00:00-07:00,,60.1,2012-11-01,01:00:00,3,11
2012-11-01 01:15:00-07:00,,,2012-11-01,01:15:00,3,11
2012-11-01 01:30:00-07:00,,,2012-11-01,01:30:00,3,11
2012-11-01 01:45:00-07:00,,,2012-11-01,01:45:00,3,11
2012-11-01 02:00:00-07:00,,60.1,2012-11-01,02:00:00,3,11
2012-11-01 02:15:00-07:00,,60.8,2012-11-01,02:15:00,3,11
2012-11-01 02:30:00-07:00,,60.8,2012-11-01,02:30:00,3,11
2012-11-01 02:45:00-07:00,,,2012-11-01,02:45:00,3,11
2012-11-01 03:00:00-07:00,,60.1,2012-11-01,03:00:00,3,11
2012-11-01 03:15:00-07:00,,,2012-11-01,03:15:00,3,11
2012-11-01 03:30:00-07:00,,60.8,2012-11-01,03:30:00,3,11
2012-11-01 03:45:00-07:00,,,2012-11-01,03:45:00,3,11
2012-11-01 04:00:00-07:00,,60.1,2012-11-01,04:00:00,3,11
2012-11-01 04:15:00-07:00,,,2012-11-01,04:15:00,3,11
2012-11-01 04:30:00-07:00,,,2012-11-01,04:30:00,3,11
2012-11-01 04:45:00-07:00,,,2012-11-01,04:45:00,3,11
2012-11-01 05:00:00-07:00,,59.0,2012-11-01,05:00:00,3,11
2012-11-01 05:15:00-07:00,,,2012-11-01,05:15:00,3,11
2012-11-01 05:30:00-07:00,,,2012-11-01,05:30:00,3,11
2012-11-01 05:45:00-07:00,,60.8,2012-11-01,05:45:00,3,11
2012-11-01 06:00:00-07:00,,60.1,2012-11-01,06:00:00,3,11
2012-11-01 06:15:00-07:00,,,2012-11-01,06:15:00,3,11
2012-11-01 06:30:00-07:00,,,2012-11-01,06:30:00,3,11
2012-11-01 06:45:00-07:00,,,2012-11-01,06:45:00,3,11
2012-11-01 07:00:00-07:00,,60.1,2012-11-01,07:00:00,3,11
2012-11-01 07:15:00-07:00,,60.8,2012-11-01,07:15:00,3,11
2012-11-01 07:30:00-07:00,,,2012-11-01,07:30:00,3,11
2012-11-01 07:45:00-07:00,,,2012-11-01,07:45:00,3,11
2012-11-01 08:00:00-07:00,,60.1,2012-11-01,08:00:00,3,11
2012-11-01 08:15:00-07:00,,,2012-11-01,08:15:00,3,11
2012-11-01 08:30:00-07:00,,,2012-11-01,08:30:00,3,11
2012-11-01 08:45:00-07:00,,,2012-11-01,08:45:00,3,11
2012-11-01 09:00:00-07:00,,61.0,2012-11-01,09:00:00,3,11
2012-11-01 09:15:00-07:00,,,2012-11-01,09:15:00,3,11
2012-11-01 09:30:00-07:00,,,2012-11-01,09:30:00,3,11
2012-11-01 09:45:00-07:00,,,2012-11-01,09:45:00,3,11
2012-11-01 10:00:00-07:00,,61.0,2012-11-01,10:00:00,3,11
2012-11-01 10:15:00-07:00,,,2012-11-01,10:15:00,3,11
2012-11-01 10:30:00-07:00,,,2012-11-01,10:30:00,3,11
2012-11-01 10:45:00-07:00,,,2012-11-01,10:45:00,3,11
2012-11-01 11:00:00-07:00,,62.1,2012-11-01,11:00:00,3,11
2012-11-01 11:15:00-07:00,,,2012-11-01,11:15:00,3,11
2012-11-01 11:30:00-07:00,,,2012-11-01,11:30:00,3,11
2012-11-01 11:45:00-07:00,,,2012-11-01,11:45:00,3,11
2012-11-01 12:00:00-07:00,,62.1,2012-11-01,12:00:00,3,11
2012-11-01 12:15:00-07:00,,,2012-11-01,12:15:00,3,11
2012-11-01 12:30:00-07:00,,,2012-11-01,12:30:00,3,11
2012-11-01 12:45:00-07:00,,,2012-11-01,12:45:00,3,11
2012-11-01 13:00:00-07:00,,64.9,2012-11-01,13:00:00,3,11
2012-11-01 13:15:00-07:00,,,2012-11-01,13:15:00,3,11
2012-11-01 13:30:00-07:00,,,2012-11-01,13:30:00,3,11
2012-11-01 13:45:00-07:00,,,2012-11-01,13:45:00,3,11
2012-11-01 14:00:00-07:00,,64.9,2012-11-01,14:00:00,3,11
2012-11-01 14:15:00-07:00,,,2012-11-01,14:15:00,3,11
2012-11-01 14:30:00-07:00,,,2012-11-01,14:30:00,3,11
2012-11-01 14:45:00-07:00,,,2012-11-01,14:45:00,3,11
